feature,level,meaning,implementation_expression,availability,role
current_units,worker_crop_task,current units,q,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
current_quote,worker_crop_task,current quote,price,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
current_quote_value,worker_crop_task,current quote value,value,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
current_headroom,worker_crop_task,current headroom,"max(0, p['max_yield'] - q)",Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
crop_capacity,worker_crop_task,crop capacity,p['max_yield'],Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
crop_age_days,worker_crop_task,crop age days,age,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
ongoing_crop,worker_crop_task,ongoing crop,int(p['ongoing']),Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
future_production_events,worker_crop_task,future production events,"future_events(tile, obs['day'], game.CROPS)",Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
travel_actions,worker_crop_task,travel actions,travel,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
hours_until_refresh,worker_crop_task,hours until refresh,night,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
same_day_arrival,worker_crop_task,same day arrival,int(travel < night),Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
next_refresh_exists,worker_crop_task,next refresh exists,int(step + night <= 718),Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
scenario_available,worker_crop_task,scenario available,int(r['available']),Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
next_production_scheduled,worker_crop_task,next production scheduled,int(due),Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
watered_today,worker_crop_task,watered today,int(wet),Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
dry_streak,worker_crop_task,dry streak,tile['consecutive_unwatered'],Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
fertilized_today,worker_crop_task,fertilized today,int(fert),Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
nominal_next_production,worker_crop_task,nominal next production,(2 if wet and fert else 1) if due else 0,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
units_at_arrival,worker_crop_task,units at arrival,r['arrival'],Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
units_before_refresh_hold,worker_crop_task,units before refresh hold,r['before_hold'],Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
units_before_refresh_harvest,worker_crop_task,units before refresh harvest,r['before_harvest'],Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
survives_hold,worker_crop_task,survives hold,r['hold_alive'],Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
