feature,family,definition,available_when,limitation,retention_status
route.actions,labor burden,"Number of commands in the frozen route, including deposit",current legal observation and own route computation,Conditional current-price route/menu scenario; not hidden opponent data or actual endpoint cash,candidate; family requires endpoint evidence
route.units,delivery amount,Product units represented by the route,current legal observation and own route computation,Conditional current-price route/menu scenario; not hidden opponent data or actual endpoint cash,candidate; family requires endpoint evidence
route.resources,joint exclusion,Number of distinct harvest/manure resources consumed,current legal observation and own route computation,Conditional current-price route/menu scenario; not hidden opponent data or actual endpoint cash,candidate; family requires endpoint evidence
route.solo_value,conditional revenue,Unchanged no-opponent route liquidation estimate,current legal observation and own route computation,Conditional current-price route/menu scenario; not hidden opponent data or actual endpoint cash,candidate; family requires endpoint evidence
route.solo_utility,conditional net value,Solo value minus the unchanged eight-coin/action penalty,current legal observation and own route computation,Conditional current-price route/menu scenario; not hidden opponent data or actual endpoint cash,candidate; family requires endpoint evidence
route.original_rank,menu boundary,Rank under the original independent scoring rule,current legal observation and own route computation,Conditional current-price route/menu scenario; not hidden opponent data or actual endpoint cash,candidate; family requires endpoint evidence
route.in_original_menu,menu boundary,Whether the route survived the original top-eight filter,current legal observation and own route computation,Conditional current-price route/menu scenario; not hidden opponent data or actual endpoint cash,candidate; family requires endpoint evidence
route.incumbent,incumbent protection,Whether the unchanged solver assigned this route,current legal observation and own route computation,Conditional current-price route/menu scenario; not hidden opponent data or actual endpoint cash,candidate; family requires endpoint evidence
route.direct_deposit,delivery safety,Route collects nothing and deposits existing cargo,current legal observation and own route computation,Conditional current-price route/menu scenario; not hidden opponent data or actual endpoint cash,candidate; family requires endpoint evidence
route.competing_workers,worker alternatives,Number of other friendly workers with positive alternative loss,current legal observation and own route computation,Conditional current-price route/menu scenario; not hidden opponent data or actual endpoint cash,candidate; family requires endpoint evidence
route.preferred_resource_conflicts,joint exclusion,Other friendly best routes sharing at least one resource,current legal observation and own route computation,Conditional current-price route/menu scenario; not hidden opponent data or actual endpoint cash,candidate; family requires endpoint evidence
route.opportunity_cost_sum,worker alternatives,Sum of original-menu independent alternative losses,current legal observation and own route computation,Conditional current-price route/menu scenario; not hidden opponent data or actual endpoint cash,candidate; family requires endpoint evidence
route.opportunity_cost_max,worker alternatives,Largest individual friendly-worker alternative loss,current legal observation and own route computation,Conditional current-price route/menu scenario; not hidden opponent data or actual endpoint cash,candidate; family requires endpoint evidence
route.compatible_alternative_mean,worker alternatives,Mean best compatible original-menu utility of other workers,current legal observation and own route computation,Conditional current-price route/menu scenario; not hidden opponent data or actual endpoint cash,candidate; family requires endpoint evidence
route.relative_utility,menu admission,Solo utility minus summed alternative losses; fixed coefficient one,current legal observation and own route computation,Conditional current-price route/menu scenario; not hidden opponent data or actual endpoint cash,candidate; family requires endpoint evidence
route.original_menu_exclusion,menu boundary,Route was generated but excluded by the original filter,current legal observation and own route computation,Conditional current-price route/menu scenario; not hidden opponent data or actual endpoint cash,candidate; family requires endpoint evidence
