seed,seat,variant,opponent,harvested_units,sold_units,discarded_units,minimum_observed_cash,standing_plants_after_final_farm_actions,standing_yield_units_after_final_farm_actions
1101,0,full,starter,334,308,26,10.0,5,9
1101,0,no_crop_value,starter,406,406,0,2408.0,5,12
1101,0,no_water_urgency,starter,307,305,2,8.0,6,11
1101,0,no_labor,starter,5,5,0,980.0,0,0
1101,0,no_terminal,starter,272,246,26,10.0,25,12
1101,1,full,starter,334,308,26,10.0,5,9
1101,1,no_crop_value,starter,411,411,0,2408.0,5,12
1101,1,no_water_urgency,starter,304,302,2,8.0,4,9
1101,1,no_labor,starter,39,39,0,1000.0,0,0
1101,1,no_terminal,starter,272,246,26,10.0,25,12
1101,0,full,carrot_scheduler,336,310,26,10.0,3,6
1101,0,no_crop_value,carrot_scheduler,406,406,0,2408.0,5,12
1101,0,no_water_urgency,carrot_scheduler,310,308,2,8.0,7,12
1101,0,no_labor,carrot_scheduler,5,5,0,990.0,0,0
1101,0,no_terminal,carrot_scheduler,305,273,26,10.0,25,26
1101,1,full,carrot_scheduler,339,313,26,10.0,1,3
1101,1,no_crop_value,carrot_scheduler,399,399,0,2408.0,3,5
1101,1,no_water_urgency,carrot_scheduler,308,306,2,8.0,5,8
1101,1,no_labor,carrot_scheduler,24,24,0,1000.0,1,6
1101,1,no_terminal,carrot_scheduler,305,270,26,10.0,25,25
1102,0,full,starter,328,302,26,10.0,7,17
1102,0,no_crop_value,starter,420,420,0,2408.0,5,5
1102,0,no_water_urgency,starter,302,300,2,8.0,5,11
1102,0,no_labor,starter,26,26,0,920.0,0,0
1102,0,no_terminal,starter,272,246,26,10.0,25,12
1102,1,full,starter,328,302,26,10.0,7,17
1102,1,no_crop_value,starter,411,411,0,2408.0,3,7
1102,1,no_water_urgency,starter,302,300,2,8.0,5,11
1102,1,no_labor,starter,26,26,0,920.0,0,0
1102,1,no_terminal,starter,272,246,26,10.0,25,12
1102,0,full,carrot_scheduler,323,297,26,10.0,10,26
1102,0,no_crop_value,carrot_scheduler,420,420,0,2408.0,5,5
1102,0,no_water_urgency,carrot_scheduler,296,294,2,8.0,14,28
1102,0,no_labor,carrot_scheduler,24,24,0,920.0,1,6
1102,0,no_terminal,carrot_scheduler,272,246,26,10.0,25,12
1102,1,full,carrot_scheduler,323,297,26,10.0,10,26
1102,1,no_crop_value,carrot_scheduler,411,411,0,2408.0,5,12
1102,1,no_water_urgency,carrot_scheduler,296,294,2,8.0,14,28
1102,1,no_labor,carrot_scheduler,24,24,0,920.0,1,6
1102,1,no_terminal,carrot_scheduler,272,246,26,10.0,25,12
1103,0,full,starter,316,290,26,10.0,9,23
1103,0,no_crop_value,starter,404,404,0,2408.0,5,8
1103,0,no_water_urgency,starter,296,294,2,8.0,14,28
1103,0,no_labor,starter,36,36,0,1080.0,0,0
1103,0,no_terminal,starter,272,246,26,10.0,25,12
1103,1,full,starter,316,290,26,10.0,9,23
1103,1,no_crop_value,starter,411,411,0,2408.0,5,12
1103,1,no_water_urgency,starter,296,294,2,8.0,14,28
1103,1,no_labor,starter,26,26,0,920.0,0,0
1103,1,no_terminal,starter,272,246,26,10.0,25,12
1103,0,full,carrot_scheduler,316,290,26,10.0,10,29
1103,0,no_crop_value,carrot_scheduler,404,404,0,2408.0,5,8
1103,0,no_water_urgency,carrot_scheduler,298,296,2,8.0,13,25
1103,0,no_labor,carrot_scheduler,36,36,0,1080.0,0,0
1103,0,no_terminal,carrot_scheduler,272,246,26,10.0,25,12
1103,1,full,carrot_scheduler,316,290,26,10.0,10,29
1103,1,no_crop_value,carrot_scheduler,413,413,0,2408.0,5,9
1103,1,no_water_urgency,carrot_scheduler,298,296,2,8.0,13,25
1103,1,no_labor,carrot_scheduler,24,24,0,1000.0,1,6
1103,1,no_terminal,carrot_scheduler,272,246,26,10.0,25,12
1104,0,full,starter,321,295,26,10.0,8,18
1104,0,no_crop_value,starter,408,408,0,2408.0,5,8
1104,0,no_water_urgency,starter,301,299,2,8.0,5,12
1104,0,no_labor,starter,22,22,0,1000.0,0,0
1104,0,no_terminal,starter,272,246,26,10.0,25,12
1104,1,full,starter,326,300,26,10.0,5,11
1104,1,no_crop_value,starter,411,411,0,2408.0,5,12
1104,1,no_water_urgency,starter,301,299,2,8.0,5,12
1104,1,no_labor,starter,24,24,0,920.0,1,6
1104,1,no_terminal,starter,278,252,26,10.0,25,12
1104,0,full,carrot_scheduler,323,297,26,10.0,10,26
1104,0,no_crop_value,carrot_scheduler,408,408,0,2408.0,5,8
1104,0,no_water_urgency,carrot_scheduler,296,294,2,8.0,14,28
1104,0,no_labor,carrot_scheduler,22,22,0,1000.0,0,0
1104,0,no_terminal,carrot_scheduler,272,246,26,10.0,25,12
1104,1,full,carrot_scheduler,323,297,26,10.0,10,26
1104,1,no_crop_value,carrot_scheduler,406,406,0,2408.0,5,12
1104,1,no_water_urgency,carrot_scheduler,296,294,2,8.0,14,28
1104,1,no_labor,carrot_scheduler,36,36,0,1080.0,0,0
1104,1,no_terminal,carrot_scheduler,272,246,26,10.0,25,12
