ablation,metric,full_minus_ablated,bootstrap_low,bootstrap_high,seed_clusters,seed_differences
no_crop_value,match_score,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
no_crop_value,coin_margin,21431.9375,19746.8125,22692.125,4,"{""1101"":23080.75,""1102"":18933.25,""1103"":22187.5,""1104"":21526.25}"
no_crop_value,coins,23457.6875,20968.9375,26012.0,4,"{""1101"":26977.5,""1102"":20069.0,""1103"":23668.75,""1104"":23115.5}"
no_crop_value,unsold_product_units,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
no_water_urgency,match_score,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
no_water_urgency,coin_margin,453.125,-791.9375,1788.8125,4,"{""1101"":2285.25,""1102"":425.5,""1103"":-1197.75,""1104"":299.5}"
no_water_urgency,coins,742.1875,-789.125,2653.1875,4,"{""1101"":3437.75,""1102"":425.5,""1103"":-1194.0,""1104"":299.5}"
no_water_urgency,unsold_product_units,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
no_labor,match_score,0.25,0.0,0.5625,4,"{""1101"":0.75,""1102"":0.0,""1103"":0.25,""1104"":0.0}"
no_labor,coin_margin,26448.4375,24238.25,29296.5625,4,"{""1101"":30834.75,""1102"":26482.5,""1103"":23794.5,""1104"":24682.0}"
no_labor,coins,27499.125,24659.75,31303.9375,4,"{""1101"":33210.5,""1102"":27466.5,""1103"":23735.25,""1104"":25584.25}"
no_labor,unsold_product_units,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
no_terminal,match_score,0.0,0.0,0.0,4,"{""1101"":0.0,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
no_terminal,coin_margin,4957.125,3990.625,6044.25,4,"{""1101"":6582.0,""1102"":5242.0,""1103"":3573.5,""1104"":4431.0}"
no_terminal,coins,4926.0,3990.625,5950.875,4,"{""1101"":6457.5,""1102"":5242.0,""1103"":3573.5,""1104"":4431.0}"
no_terminal,unsold_product_units,-0.9375,-2.8125,0.0,4,"{""1101"":-3.75,""1102"":0.0,""1103"":0.0,""1104"":0.0}"
