seed,seat,arm,step,product,held_units,same_turn_rival_sale_units,quote_before,quote_next_callback,quote_change
1201,0,01,264,MELON,89,18,244,232,-12
1201,0,01,288,MELON,60,96,76,4,-72
1201,0,01,504,MELON,1,18,1,4,3
1201,0,01,600,CARROT,26,0,61,61,0
1201,0,01,648,CARROT,3,9,62,62,0
1201,0,01,672,CARROT,18,9,63,63,0
1201,0,01,672,STRAWBERRY,20,20,261,256,-5
1201,0,01,696,CARROT,3,0,63,63,0
1201,0,01,696,STRAWBERRY,19,32,248,240,-8
1201,0,01,699,CARROT,1,0,63,62,-1
1201,0,01,700,CARROT,1,0,62,63,1
1201,0,01,712,STRAWBERRY,1,0,235,236,1
1201,0,11,264,MELON,36,36,205,146,-59
1201,0,11,288,MELON,72,78,60,4,-56
1201,0,11,504,MELON,30,30,7,4,-3
1201,0,11,576,CARROT,6,6,60,60,0
1201,0,11,600,CARROT,3,9,61,61,0
1201,0,11,624,CARROT,3,0,62,63,1
1201,0,11,648,CARROT,12,3,64,64,0
1201,0,11,672,STRAWBERRY,36,24,283,279,-4
1201,0,11,681,STRAWBERRY,4,0,272,272,0
1201,0,11,682,STRAWBERRY,12,0,272,272,0
1201,0,11,683,STRAWBERRY,12,0,272,272,0
1201,0,11,684,STRAWBERRY,12,0,272,273,1
1201,0,11,691,STRAWBERRY,4,0,271,271,0
1201,0,11,692,STRAWBERRY,4,0,271,272,1
1201,0,11,696,STRAWBERRY,4,52,270,259,-11
1201,0,11,716,CARROT,2,0,66,67,1
1201,0,11,716,STRAWBERRY,4,0,261,262,1
1201,1,01,264,MELON,89,18,244,232,-12
1201,1,01,288,MELON,60,96,76,4,-72
1201,1,01,504,MELON,1,18,1,4,3
1201,1,01,600,CARROT,26,0,61,61,0
1201,1,01,648,CARROT,3,9,62,62,0
1201,1,01,672,CARROT,18,9,63,63,0
1201,1,01,672,STRAWBERRY,20,20,261,256,-5
1201,1,01,696,CARROT,3,0,63,63,0
1201,1,01,696,STRAWBERRY,19,32,248,240,-8
1201,1,01,699,CARROT,1,0,63,62,-1
1201,1,01,700,CARROT,1,0,62,63,1
1201,1,01,712,STRAWBERRY,1,0,235,236,1
1201,1,11,264,MELON,36,36,205,146,-59
1201,1,11,288,MELON,72,78,60,4,-56
1201,1,11,504,MELON,30,30,7,4,-3
1201,1,11,576,CARROT,6,6,60,60,0
1201,1,11,600,CARROT,3,9,61,61,0
1201,1,11,624,CARROT,3,0,62,63,1
1201,1,11,648,CARROT,12,3,64,64,0
1201,1,11,672,STRAWBERRY,36,24,283,279,-4
1201,1,11,681,STRAWBERRY,4,0,272,272,0
1201,1,11,682,STRAWBERRY,12,0,272,272,0
