actual_stock_positive,arm,callbacks,cash_excess,cash_false_positive,cash_sale_lower,loose_excess,loose_false_positive,loose_sale_lower,opponent,product,sale_units,seat,seed,strictly_tighter
103,bank,719,0,0,41,0,0,41,relationship101,CARROT,41,0,1301,0
0,bank,719,0,0,0,0,0,0,relationship101,TOMATO,0,0,1301,0
49,bank,719,2153,118,76,2153,118,76,relationship101,STRAWBERRY,76,0,1301,0
59,bank,719,35197,407,89,38438,407,75,relationship101,MELON,180,0,1301,431
0,bank,719,0,0,0,0,0,0,relationship101,EGG,0,0,1301,0
0,bank,719,0,0,0,0,0,0,relationship101,MILK,0,0,1301,0
0,bank,719,0,0,0,0,0,0,relationship101,WOOL,0,0,1301,0
103,visible,719,0,0,41,0,0,41,relationship101,CARROT,41,0,1301,0
0,visible,719,0,0,0,0,0,0,relationship101,TOMATO,0,0,1301,0
49,visible,719,2153,118,76,2153,118,76,relationship101,STRAWBERRY,76,0,1301,0
59,visible,719,35197,407,89,38446,407,74,relationship101,MELON,180,0,1301,431
0,visible,719,0,0,0,0,0,0,relationship101,EGG,0,0,1301,0
0,visible,719,0,0,0,0,0,0,relationship101,MILK,0,0,1301,0
0,visible,719,0,0,0,0,0,0,relationship101,WOOL,0,0,1301,0
103,history,719,0,0,41,0,0,41,relationship101,CARROT,41,0,1301,0
0,history,719,0,0,0,0,0,0,relationship101,TOMATO,0,0,1301,0
49,history,719,2153,118,76,2153,118,76,relationship101,STRAWBERRY,76,0,1301,0
59,history,719,35197,407,89,38446,407,74,relationship101,MELON,180,0,1301,431
0,history,719,0,0,0,0,0,0,relationship101,EGG,0,0,1301,0
0,history,719,0,0,0,0,0,0,relationship101,MILK,0,0,1301,0
0,history,719,0,0,0,0,0,0,relationship101,WOOL,0,0,1301,0
103,cash,719,0,0,41,0,0,41,relationship101,CARROT,41,0,1301,0
0,cash,719,0,0,0,0,0,0,relationship101,TOMATO,0,0,1301,0
49,cash,719,2153,118,76,2153,118,76,relationship101,STRAWBERRY,76,0,1301,0
59,cash,719,35197,407,89,38446,407,74,relationship101,MELON,180,0,1301,431
0,cash,719,0,0,0,0,0,0,relationship101,EGG,0,0,1301,0
0,cash,719,0,0,0,0,0,0,relationship101,MILK,0,0,1301,0
0,cash,719,0,0,0,0,0,0,relationship101,WOOL,0,0,1301,0
123,bank,719,0,0,40,0,0,40,market10,CARROT,40,0,1301,0
0,bank,719,0,0,0,0,0,0,market10,TOMATO,0,0,1301,0
47,bank,719,2156,96,64,2156,96,64,market10,STRAWBERRY,64,0,1301,0
57,bank,719,29712,409,116,36992,409,82,market10,MELON,186,0,1301,429
0,bank,719,0,0,0,0,0,0,market10,EGG,0,0,1301,0
0,bank,719,0,0,0,0,0,0,market10,MILK,0,0,1301,0
0,bank,719,0,0,0,0,0,0,market10,WOOL,0,0,1301,0
123,visible,719,0,0,40,0,0,40,market10,CARROT,40,0,1301,0
0,visible,719,0,0,0,0,0,0,market10,TOMATO,0,0,1301,0
47,visible,719,2156,96,64,2156,96,64,market10,STRAWBERRY,64,0,1301,0
57,visible,719,25884,409,124,32304,409,94,market10,MELON,186,0,1301,214
0,visible,719,0,0,0,0,0,0,market10,EGG,0,0,1301,0
0,visible,719,0,0,0,0,0,0,market10,MILK,0,0,1301,0
0,visible,719,0,0,0,0,0,0,market10,WOOL,0,0,1301,0
123,history,719,0,0,40,0,0,40,market10,CARROT,40,0,1301,0
0,history,719,0,0,0,0,0,0,market10,TOMATO,0,0,1301,0
47,history,719,2156,96,64,2156,96,64,market10,STRAWBERRY,64,0,1301,0
57,history,719,29754,409,114,37034,409,80,market10,MELON,186,0,1301,429
0,history,719,0,0,0,0,0,0,market10,EGG,0,0,1301,0
0,history,719,0,0,0,0,0,0,market10,MILK,0,0,1301,0
0,history,719,0,0,0,0,0,0,market10,WOOL,0,0,1301,0
123,cash,719,0,0,40,0,0,40,market10,CARROT,40,0,1301,0
0,cash,719,0,0,0,0,0,0,market10,TOMATO,0,0,1301,0
47,cash,719,2156,96,64,2156,96,64,market10,STRAWBERRY,64,0,1301,0
57,cash,719,29754,409,114,37034,409,80,market10,MELON,186,0,1301,429
0,cash,719,0,0,0,0,0,0,market10,EGG,0,0,1301,0
0,cash,719,0,0,0,0,0,0,market10,MILK,0,0,1301,0
0,cash,719,0,0,0,0,0,0,market10,WOOL,0,0,1301,0
103,bank,719,0,0,41,0,0,41,relationship101,CARROT,41,1,1301,0
0,bank,719,0,0,0,0,0,0,relationship101,TOMATO,0,1,1301,0
49,bank,719,2153,118,76,2153,118,76,relationship101,STRAWBERRY,76,1,1301,0
59,bank,719,35197,407,89,38438,407,75,relationship101,MELON,180,1,1301,431
0,bank,719,0,0,0,0,0,0,relationship101,EGG,0,1,1301,0
0,bank,719,0,0,0,0,0,0,relationship101,MILK,0,1,1301,0
0,bank,719,0,0,0,0,0,0,relationship101,WOOL,0,1,1301,0
103,visible,719,0,0,41,0,0,41,relationship101,CARROT,41,1,1301,0
0,visible,719,0,0,0,0,0,0,relationship101,TOMATO,0,1,1301,0
49,visible,719,2153,118,76,2153,118,76,relationship101,STRAWBERRY,76,1,1301,0
59,visible,719,35197,407,89,38446,407,74,relationship101,MELON,180,1,1301,431
0,visible,719,0,0,0,0,0,0,relationship101,EGG,0,1,1301,0
0,visible,719,0,0,0,0,0,0,relationship101,MILK,0,1,1301,0
0,visible,719,0,0,0,0,0,0,relationship101,WOOL,0,1,1301,0
103,history,719,0,0,41,0,0,41,relationship101,CARROT,41,1,1301,0
0,history,719,0,0,0,0,0,0,relationship101,TOMATO,0,1,1301,0
49,history,719,2153,118,76,2153,118,76,relationship101,STRAWBERRY,76,1,1301,0
59,history,719,35197,407,89,38446,407,74,relationship101,MELON,180,1,1301,431
0,history,719,0,0,0,0,0,0,relationship101,EGG,0,1,1301,0
0,history,719,0,0,0,0,0,0,relationship101,MILK,0,1,1301,0
0,history,719,0,0,0,0,0,0,relationship101,WOOL,0,1,1301,0
103,cash,719,0,0,41,0,0,41,relationship101,CARROT,41,1,1301,0
