seed,seat,arm,product,candidate_units_sold,opponent_units_sold,candidate_first_sale_step,opponent_first_sale_step,candidate_first_sale_lead_actions
1101,0,000,WHEAT,37,35,696.0,696.0,0.0
1101,0,000,CARROT,0,0,,,
1101,0,000,TOMATO,0,0,,,
1101,0,000,STRAWBERRY,20,18,696.0,696.0,0.0
1101,0,000,MELON,177,177,312.0,312.0,0.0
1101,0,001,WHEAT,92,50,624.0,552.0,-72.0
1101,0,001,CARROT,0,0,,,
1101,0,001,TOMATO,0,0,,,
1101,0,001,STRAWBERRY,20,36,696.0,696.0,0.0
1101,0,001,MELON,270,105,264.0,312.0,48.0
1101,0,010,WHEAT,37,35,696.0,696.0,0.0
1101,0,010,CARROT,0,0,,,
1101,0,010,TOMATO,0,0,,,
1101,0,010,STRAWBERRY,20,18,696.0,696.0,0.0
1101,0,010,MELON,177,177,312.0,312.0,0.0
1101,0,011,WHEAT,92,50,624.0,552.0,-72.0
1101,0,011,CARROT,0,0,,,
1101,0,011,TOMATO,0,0,,,
1101,0,011,STRAWBERRY,20,36,696.0,696.0,0.0
1101,0,011,MELON,270,105,264.0,312.0,48.0
1101,0,100,WHEAT,26,37,696.0,696.0,0.0
1101,0,100,CARROT,0,0,,,
1101,0,100,TOMATO,0,0,,,
1101,0,100,STRAWBERRY,26,20,696.0,696.0,0.0
1101,0,100,MELON,112,177,289.0,312.0,23.0
1101,0,101,WHEAT,66,35,600.0,552.0,-48.0
1101,0,101,CARROT,3,0,699.0,,
1101,0,101,TOMATO,0,0,,,
1101,0,101,STRAWBERRY,36,55,693.0,696.0,3.0
1101,0,101,MELON,240,105,242.0,312.0,70.0
1101,0,110,WHEAT,26,37,696.0,696.0,0.0
1101,0,110,CARROT,0,0,,,
1101,0,110,TOMATO,0,0,,,
1101,0,110,STRAWBERRY,26,20,696.0,696.0,0.0
1101,0,110,MELON,112,177,289.0,312.0,23.0
1101,0,111,WHEAT,66,35,600.0,552.0,-48.0
1101,0,111,CARROT,3,0,699.0,,
1101,0,111,TOMATO,0,0,,,
1101,0,111,STRAWBERRY,36,55,693.0,696.0,3.0
1101,0,111,MELON,240,105,242.0,312.0,70.0
1101,1,000,WHEAT,35,37,696.0,696.0,0.0
1101,1,000,CARROT,0,0,,,
1101,1,000,TOMATO,0,0,,,
1101,1,000,STRAWBERRY,18,20,696.0,696.0,0.0
1101,1,000,MELON,177,177,312.0,312.0,0.0
1101,1,001,WHEAT,92,50,624.0,552.0,-72.0
1101,1,001,CARROT,0,0,,,
1101,1,001,TOMATO,0,0,,,
