feature,family,distinct_development_values,minimum,maximum,nonzero_fraction,availability,status
time.day,horizon,30,0.0,29.0,0.9668508287292817,current_legal_observation,provisional_not_selected
time.hour,horizon,7,0.0,22.0,0.8342541436464088,current_legal_observation,provisional_not_selected
time.decisions_remaining,horizon,181,1.0,719.0,1.0,current_legal_observation,provisional_not_selected
time.hours_until_refresh,horizon,7,2.0,24.0,1.0,current_legal_observation,provisional_not_selected
time.season_fraction,horizon,181,0.0,0.9986091794158554,0.994475138121547,current_legal_observation,provisional_not_selected
relative.cash_lead,relative_state,534,-5339.0,27456.0,0.5082872928176796,current_legal_observation,provisional_not_selected
relative.worker_lead,relative_state,4,-3.0,3.0,0.35082872928176795,current_legal_observation,provisional_not_selected
relative.land_lead,relative_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
logistics.shed_used,logistics,37,0.0,38.0,0.7928176795580111,current_legal_observation,provisional_not_selected
logistics.shed_free,logistics,37,62.0,100.0,1.0,current_legal_observation,provisional_not_selected
logistics.carried_total,logistics,39,0.0,38.0,0.8206721915285451,current_legal_observation,provisional_not_selected
logistics.refresh_overflow,logistics,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
demand.BAKERY.instances,town_demand,4,0.0,3.0,0.46408839779005523,current_legal_observation,provisional_not_selected
demand.BRUNCH_SPOT.instances,town_demand,4,0.0,3.0,0.4516574585635359,current_legal_observation,provisional_not_selected
demand.FARMERS_MARKET.instances,town_demand,3,0.0,2.0,0.4509668508287293,current_legal_observation,provisional_not_selected
demand.ICE_CREAM_SHOP.instances,town_demand,4,0.0,3.0,0.4509668508287293,current_legal_observation,provisional_not_selected
demand.PET_CAFE.instances,town_demand,4,0.0,3.0,0.12569060773480664,current_legal_observation,provisional_not_selected
demand.PIZZA_SHOP.instances,town_demand,4,0.0,3.0,0.6263812154696132,current_legal_observation,provisional_not_selected
demand.SMOOTHIE_SHOP.instances,town_demand,3,0.0,2.0,0.2513812154696133,current_legal_observation,provisional_not_selected
demand.YARN_STORE.instances,town_demand,3,0.0,2.0,0.42748618784530384,current_legal_observation,provisional_not_selected
market.WHEAT.price,market_curves,30,25.0,55.0,1.0,current_legal_observation,provisional_not_selected
