coin_margin,coins,harvests,ineffective_farm_actions,match_score,opponent,passes,plant_CARROT,plant_MELON,plant_STRAWBERRY,plant_TOMATO,plant_WHEAT,plants,seat,seed,unsold_product_units,variant,waters
30181.0,33813.0,69,0,1.0,starter,108,25,50,0,0,0,75,0,1101,0,full,685
9804.0,13196.0,140,0,1.0,starter,27,155,0,0,0,0,155,0,1101,0,no_crop_value,604
29281.0,32913.0,66,0,1.0,starter,89,22,55,4,0,0,81,0,1101,0,no_water_urgency,651
-1248.0,2377.0,1,0,0.0,starter,39,1,24,0,0,0,25,0,1101,0,no_labor,167
25160.0,28792.0,49,0,1.0,starter,116,0,62,13,0,0,75,0,1101,0,no_terminal,727
30181.0,33813.0,69,0,1.0,starter,108,25,50,0,0,0,75,1,1101,0,full,685
9990.0,13382.0,142,0,1.0,starter,33,156,0,0,0,0,156,1,1101,0,no_crop_value,606
28638.0,32270.0,68,0,1.0,starter,57,24,55,4,0,0,83,1,1101,0,no_water_urgency,642
7724.0,11365.0,7,0,1.0,starter,14,0,25,0,0,0,25,1,1101,0,no_labor,183
25160.0,28792.0,49,0,1.0,starter,116,0,62,13,0,0,75,1,1101,0,no_terminal,727
29033.0,42776.0,73,0,1.0,carrot_scheduler,107,30,50,0,0,0,80,0,1101,0,full,704
4267.0,8938.0,140,0,1.0,carrot_scheduler,27,155,0,0,0,0,155,0,1101,0,no_crop_value,604
26424.0,35506.0,68,0,1.0,carrot_scheduler,92,24,55,4,0,0,83,0,1101,0,no_water_urgency,655
-5782.0,2387.0,1,0,0.0,carrot_scheduler,39,0,24,0,0,1,25,0,1101,0,no_labor,168
21801.0,35864.0,60,0,1.0,carrot_scheduler,108,25,62,0,0,0,87,0,1101,6,no_terminal,725
33107.0,44456.0,74,0,1.0,carrot_scheduler,105,30,50,0,0,0,80,1,1101,0,full,702
6118.0,11432.0,138,0,1.0,carrot_scheduler,36,151,0,0,0,0,151,1,1101,0,no_crop_value,586
29018.0,40418.0,70,0,1.0,carrot_scheduler,72,28,55,4,0,0,87,1,1101,0,no_water_urgency,644
-1531.0,5887.0,5,0,0.0,carrot_scheduler,5,0,26,0,0,2,28,1,1101,0,no_labor,187
24053.0,35580.0,60,0,1.0,carrot_scheduler,106,26,62,0,0,0,88,1,1101,9,no_terminal,727
31520.0,35381.0,70,0,1.0,starter,106,27,50,0,0,0,77,0,1102,0,full,692
14552.0,18128.0,146,0,1.0,starter,25,160,0,0,0,0,160,0,1102,0,no_crop_value,611
29727.0,33588.0,68,0,1.0,starter,68,25,55,4,0,0,84,0,1102,0,no_water_urgency,644
3559.0,7319.0,5,0,1.0,starter,19,2,27,0,0,0,29,0,1102,0,no_labor,186
24931.0,28792.0,49,0,1.0,starter,116,0,62,13,0,0,75,0,1102,0,no_terminal,727
31520.0,35381.0,70,0,1.0,starter,106,27,50,0,0,0,77,1,1102,0,full,692
14197.0,17775.0,141,0,1.0,starter,25,153,0,0,0,0,153,1,1102,0,no_crop_value,599
29727.0,33588.0,68,0,1.0,starter,68,25,55,4,0,0,84,1,1102,0,no_water_urgency,644
3559.0,7319.0,5,0,1.0,starter,19,2,27,0,0,0,29,1,1102,0,no_labor,186
24931.0,28792.0,49,0,1.0,starter,116,0,62,13,0,0,75,1,1102,0,no_terminal,727
25564.0,32687.0,63,0,1.0,carrot_scheduler,112,0,50,0,0,23,73,0,1102,0,full,685
4839.0,10017.0,146,0,1.0,carrot_scheduler,25,160,0,0,0,0,160,0,1102,0,no_crop_value,611
26506.0,33629.0,56,0,1.0,carrot_scheduler,65,0,55,4,0,20,79,0,1102,0,no_water_urgency,650
560.0,5816.0,5,0,1.0,carrot_scheduler,5,0,27,0,0,2,29,0,1102,0,no_labor,189
21669.0,28792.0,49,0,1.0,carrot_scheduler,116,0,62,13,0,0,75,0,1102,0,no_terminal,727
25564.0,32687.0,63,0,1.0,carrot_scheduler,112,0,50,0,0,23,73,1,1102,0,full,685
4847.0,9940.0,142,0,1.0,carrot_scheduler,33,156,0,0,0,0,156,1,1102,0,no_crop_value,606
26506.0,33629.0,56,0,1.0,carrot_scheduler,65,0,55,4,0,20,79,1,1102,0,no_water_urgency,650
560.0,5816.0,5,0,1.0,carrot_scheduler,5,0,27,0,0,2,29,1,1102,0,no_labor,189
21669.0,28792.0,49,0,1.0,carrot_scheduler,116,0,62,13,0,0,75,1,1102,0,no_terminal,727
28963.0,32469.0,61,0,1.0,starter,108,0,50,0,0,22,72,0,1103,0,full,683
5839.0,9047.0,139,0,1.0,starter,24,153,0,0,0,0,153,0,1103,0,no_crop_value,595
30158.0,33664.0,56,0,1.0,starter,65,0,55,4,0,20,79,0,1103,0,no_water_urgency,650
7034.0,10666.0,6,0,1.0,starter,16,0,24,0,0,0,24,0,1103,0,no_labor,185
25286.0,28792.0,49,0,1.0,starter,116,0,62,13,0,0,75,0,1103,0,no_terminal,727
28963.0,32469.0,61,0,1.0,starter,108,0,50,0,0,22,72,1,1103,0,full,683
6028.0,9242.0,142,0,1.0,starter,33,156,0,0,0,0,156,1,1103,0,no_crop_value,606
30158.0,33664.0,56,0,1.0,starter,65,0,55,4,0,20,79,1,1103,0,no_water_urgency,650
3678.0,7269.0,5,0,1.0,starter,19,2,27,0,0,0,29,1,1103,0,no_labor,186
25286.0,28792.0,49,0,1.0,starter,116,0,62,13,0,0,75,1,1103,0,no_terminal,727
25080.0,32262.0,62,0,1.0,carrot_scheduler,117,0,50,0,0,24,74,0,1103,0,full,689
3619.0,8142.0,139,0,1.0,carrot_scheduler,24,153,0,0,0,0,153,0,1103,0,no_crop_value,595
26288.0,33455.0,57,0,1.0,carrot_scheduler,63,0,55,4,0,20,79,0,1103,0,no_water_urgency,648
3478.0,10686.0,6,0,1.0,carrot_scheduler,16,0,24,0,0,0,24,0,1103,0,no_labor,185
21610.0,28792.0,49,0,1.0,carrot_scheduler,116,0,62,13,0,0,75,0,1103,0,no_terminal,727
25080.0,32262.0,62,0,1.0,carrot_scheduler,117,0,50,0,0,24,74,1,1103,0,full,689
3850.0,8356.0,143,0,1.0,carrot_scheduler,48,154,0,0,0,0,154,1,1103,0,no_crop_value,601
26273.0,33455.0,57,0,1.0,carrot_scheduler,63,0,55,4,0,20,79,1,1103,0,no_water_urgency,648
-1282.0,5900.0,5,0,0.0,carrot_scheduler,4,0,26,0,0,2,28,1,1103,0,no_labor,187
21610.0,28792.0,49,0,1.0,carrot_scheduler,116,0,62,13,0,0,75,1,1103,0,no_terminal,727
30170.0,33913.0,67,0,1.0,starter,98,26,50,0,0,0,76,0,1104,0,full,687
9641.0,13021.0,141,0,1.0,starter,24,154,0,0,0,0,154,0,1104,0,no_crop_value,597
28809.0,32552.0,66,0,1.0,starter,62,23,55,4,0,0,82,0,1104,0,no_water_urgency,641
3531.0,7043.0,4,0,1.0,starter,14,0,25,0,0,0,25,0,1104,0,no_labor,182
25049.0,28792.0,49,0,1.0,starter,111,0,62,13,0,0,75,0,1104,0,no_terminal,728
30111.0,33815.0,67,0,1.0,starter,106,23,50,0,0,0,73,1,1104,0,full,678
9866.0,13248.0,142,0,1.0,starter,33,156,0,0,0,0,156,1,1104,0,no_crop_value,606
28316.0,32020.0,66,0,1.0,starter,62,23,55,4,0,0,82,1,1104,0,no_water_urgency,641
2267.0,5779.0,5,0,1.0,starter,5,0,27,0,0,2,29,1,1104,0,no_labor,189
25094.0,28798.0,50,0,1.0,starter,125,0,62,13,0,0,75,1,1104,0,no_terminal,724
25762.0,32537.0,63,0,1.0,carrot_scheduler,107,11,50,0,0,12,73,0,1104,0,full,686
3017.0,7155.0,141,0,1.0,carrot_scheduler,24,148,0,0,0,6,154,0,1104,0,no_crop_value,597
26789.0,33564.0,56,0,1.0,carrot_scheduler,65,4,55,4,0,16,79,0,1104,0,no_water_urgency,650
1855.0,7043.0,4,0,1.0,carrot_scheduler,14,0,25,0,0,0,25,0,1104,0,no_labor,182
22017.0,28792.0,49,0,1.0,carrot_scheduler,111,0,62,13,0,0,75,0,1104,0,no_terminal,728
25525.0,32633.0,63,0,1.0,carrot_scheduler,112,0,50,0,0,23,73,1,1104,0,full,685
2939.0,7012.0,140,0,1.0,carrot_scheduler,34,155,0,0,0,0,155,1,1104,0,no_crop_value,604
26456.0,33564.0,56,0,1.0,carrot_scheduler,65,0,55,4,0,20,79,1,1104,0,no_water_urgency,650
5187.0,10696.0,6,0,1.0,carrot_scheduler,19,0,24,0,0,0,24,1,1104,0,no_labor,179
21684.0,28792.0,49,0,1.0,carrot_scheduler,116,0,62,13,0,0,75,1,1104,0,no_terminal,727
