mode,player,crop,event,units
control,0,STRAWBERRY,fertilize,0.0
control,0,STRAWBERRY,harvest,4.0
control,0,STRAWBERRY,night_production,4.0
control,0,STRAWBERRY,water,0.0
control,0,TOMATO,decay_death,0.0
control,0,TOMATO,fertilize,0.0
control,0,TOMATO,harvest,24.0
control,0,TOMATO,night_production,24.0
control,0,TOMATO,water,0.0
control,0,WHEAT,fertilize,0.0
control,0,WHEAT,harvest,50.0
control,0,WHEAT,plant,6.0
control,0,WHEAT,water,34.0
control,1,STRAWBERRY,fertilize,0.0
control,1,STRAWBERRY,harvest,4.0
control,1,STRAWBERRY,night_production,4.0
control,1,STRAWBERRY,water,0.0
control,1,TOMATO,decay_death,0.0
control,1,TOMATO,fertilize,0.0
control,1,TOMATO,harvest,22.0
control,1,TOMATO,night_production,24.0
control,1,TOMATO,water,0.0
control,1,WHEAT,fertilize,0.0
control,1,WHEAT,harvest,50.0
control,1,WHEAT,plant,6.0
control,1,WHEAT,water,34.0
defer,0,STRAWBERRY,fertilize,0.0
defer,0,STRAWBERRY,harvest,4.0
defer,0,STRAWBERRY,night_production,4.0
defer,0,STRAWBERRY,water,0.0
defer,0,TOMATO,decay_death,0.0
defer,0,TOMATO,fertilize,0.0
defer,0,TOMATO,harvest,24.0
defer,0,TOMATO,night_production,24.0
defer,0,TOMATO,water,0.0
defer,0,WHEAT,fertilize,0.0
defer,0,WHEAT,harvest,48.0
defer,0,WHEAT,plant,6.0
defer,0,WHEAT,water,32.0
defer,1,STRAWBERRY,fertilize,0.0
defer,1,STRAWBERRY,harvest,4.0
defer,1,STRAWBERRY,night_production,4.0
defer,1,STRAWBERRY,water,0.0
defer,1,TOMATO,decay_death,0.0
defer,1,TOMATO,fertilize,0.0
defer,1,TOMATO,harvest,22.0
defer,1,TOMATO,night_production,24.0
defer,1,TOMATO,water,0.0
defer,1,WHEAT,fertilize,0.0
defer,1,WHEAT,harvest,50.0
defer,1,WHEAT,plant,6.0
defer,1,WHEAT,water,34.0
