round,level,feature,definition,availability,role,status
19,worker_option,task_units,Task units; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,current_quote,Current quote; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,quoted_goods_value,Quoted goods value; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,travel_actions,Travel actions; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,collection_actions,Collection actions; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,return_actions,Return actions; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,deposit_actions,Deposit actions; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,collection_effort,Collection effort; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,direct_delivery_effort,Direct delivery effort; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,manual_sale_offset,Outbound movement + HARVEST/COLLECT + return movement; DROP and SELL are at this callback offset.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,night_sale_offset,Callbacks until reset; automatic deposit occurs after the prior market phase.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,manual_sale_available,Manual sale available; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,night_sale_available,Night sale available; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,earliest_sale_offset,Earliest sale offset; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,completion_denominator,Minimum admitted sale offset + 1; unavailable paths use original outbound effort.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,reference_denominator,Original 1 + outbound distance.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,candidate_denominator,The sole denominator used by the intervention; see formula in FEATURE_RESEARCH.md.,Current own public/private state and fixed default engine constants only,Intervention denominator,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
