feature,distinct_values,nonzero_fraction,status
travel_actions,9,0.9522056604912196,candidate_activation_not_importance
service_actions,1,1.0,candidate_activation_not_importance
service_effort,9,1.0,candidate_activation_not_importance
hours_left,11,1.0,candidate_activation_not_importance
decisions_left,269,1.0,candidate_activation_not_importance
deadline_callback_offset,11,0.9898618067708648,candidate_activation_not_importance
completion_slack,32,0.986059984309939,candidate_activation_not_importance
deadline_exists,1,1.0,candidate_activation_not_importance
reachable_today,2,0.9678957214410717,candidate_activation_not_importance
survival_critical,2,0.01677629593868807,candidate_activation_not_importance
dry_or_unfed_streak,2,0.01677629593868807,candidate_activation_not_importance
already_serviced,1,0.0,candidate_activation_not_importance
wheat_required,2,0.2327560195522298,candidate_activation_not_importance
worker_wheat,10,0.7789511797718907,candidate_activation_not_importance
shed_wheat,17,0.6801641421760908,candidate_activation_not_importance
resource_available,2,0.9313861565385312,candidate_activation_not_importance
next_production_scheduled,2,0.24524772192384287,candidate_activation_not_importance
nominal_next_yield,6,0.24524772192384287,candidate_activation_not_importance
held_units,7,0.5085993603282843,candidate_activation_not_importance
held_quote_value,255,0.5085993603282843,candidate_activation_not_importance
production_capacity,2,1.0,candidate_activation_not_importance
production_headroom,7,0.9928791261842979,candidate_activation_not_importance
future_events_in_season,27,0.6521030716311629,candidate_activation_not_importance
own_worker_count,2,1.0,candidate_activation_not_importance
alternative_ready_workers,4,0.9146098605998431,candidate_activation_not_importance
nearest_other_ready_travel,10,0.8908333836219903,candidate_activation_not_importance
exclusive_ready_access,2,0.0853901394001569,candidate_activation_not_importance
urgency_multiplier,15,1.0,candidate_activation_not_importance
reference_denominator,9,1.0,candidate_activation_not_importance
candidate_denominator,21,1.0,candidate_activation_not_importance
score_multiplier,15,1.0,candidate_activation_not_importance
eligible_critical_job,2,0.008870919075493332,candidate_activation_not_importance
