feature,distinct_values,nonzero_fraction,status
current_units,6,1.0,candidate_activation_not_importance
current_quote,95,1.0,candidate_activation_not_importance
current_quote_value,150,1.0,candidate_activation_not_importance
current_headroom,6,0.9964809384164223,candidate_activation_not_importance
crop_capacity,2,1.0,candidate_activation_not_importance
crop_age_days,10,1.0,candidate_activation_not_importance
ongoing_crop,2,0.28856304985337244,candidate_activation_not_importance
future_production_events,4,0.23020527859237536,candidate_activation_not_importance
travel_actions,9,0.9607038123167155,candidate_activation_not_importance
hours_until_refresh,4,1.0,candidate_activation_not_importance
same_day_arrival,2,0.9868035190615836,candidate_activation_not_importance
next_refresh_exists,1,1.0,candidate_activation_not_importance
scenario_available,2,0.2829912023460411,candidate_activation_not_importance
next_production_scheduled,2,0.14926686217008797,candidate_activation_not_importance
watered_today,2,0.28269794721407626,candidate_activation_not_importance
dry_streak,2,0.0017595307917888563,candidate_activation_not_importance
fertilized_today,2,0.398533724340176,candidate_activation_not_importance
nominal_next_production,2,0.14926686217008797,candidate_activation_not_importance
units_at_arrival,7,0.9997067448680352,candidate_activation_not_importance
units_before_refresh_hold,4,0.28269794721407626,candidate_activation_not_importance
units_before_refresh_harvest,1,0.0,candidate_activation_not_importance
survives_hold,2,0.2812316715542522,candidate_activation_not_importance
survives_harvest,2,0.2812316715542522,candidate_activation_not_importance
produced_hold,2,0.1439882697947214,candidate_activation_not_importance
produced_harvest,2,0.1439882697947214,candidate_activation_not_importance
released_production_units,1,0.0,candidate_activation_not_importance
released_quote_value,1,0.0,candidate_activation_not_importance
augmented_harvest_value,150,1.0,candidate_activation_not_importance
relative_headroom_bonus,1,0.0,candidate_activation_not_importance
own_shed_same_product,16,0.6284457478005865,candidate_activation_not_importance
own_shed_free,31,1.0,candidate_activation_not_importance
delivery_slack,461,1.0,candidate_activation_not_importance
