episode_id,seed,seat,opponent,source_arm,arm,evaluated_worker_states,changed_first_actions,changed_tasks,first_action_change_fraction
2839ed2a525766625395,1601,1,livestock_fertilizer,coordinated,full,86,0,0,0.0
2839ed2a525766625395,1601,1,livestock_fertilizer,coordinated,no_capacity,86,0,0,0.0
2839ed2a525766625395,1601,1,livestock_fertilizer,coordinated,no_deadline,86,0,0,0.0
2839ed2a525766625395,1601,1,livestock_fertilizer,coordinated,no_decay,86,0,0,0.0
2839ed2a525766625395,1601,1,livestock_fertilizer,coordinated,no_price_impact,86,0,0,0.0
35cba1b6eb288052fa45,1601,0,livestock_fertilizer,sequential,full,86,0,0,0.0
35cba1b6eb288052fa45,1601,0,livestock_fertilizer,sequential,no_capacity,86,0,0,0.0
35cba1b6eb288052fa45,1601,0,livestock_fertilizer,sequential,no_deadline,86,0,0,0.0
35cba1b6eb288052fa45,1601,0,livestock_fertilizer,sequential,no_decay,86,0,0,0.0
35cba1b6eb288052fa45,1601,0,livestock_fertilizer,sequential,no_price_impact,86,0,0,0.0
6c5b293d1d6c0e2ac853,1602,1,livestock_fertilizer,sequential,full,86,0,0,0.0
6c5b293d1d6c0e2ac853,1602,1,livestock_fertilizer,sequential,no_capacity,86,0,0,0.0
6c5b293d1d6c0e2ac853,1602,1,livestock_fertilizer,sequential,no_deadline,86,10,10,0.11627906976744186
6c5b293d1d6c0e2ac853,1602,1,livestock_fertilizer,sequential,no_decay,86,0,0,0.0
6c5b293d1d6c0e2ac853,1602,1,livestock_fertilizer,sequential,no_price_impact,86,0,0,0.0
8eb5c6031990c805ca5f,1601,1,livestock_fertilizer,sequential,full,86,0,0,0.0
8eb5c6031990c805ca5f,1601,1,livestock_fertilizer,sequential,no_capacity,86,0,0,0.0
8eb5c6031990c805ca5f,1601,1,livestock_fertilizer,sequential,no_deadline,86,0,0,0.0
8eb5c6031990c805ca5f,1601,1,livestock_fertilizer,sequential,no_decay,86,0,0,0.0
8eb5c6031990c805ca5f,1601,1,livestock_fertilizer,sequential,no_price_impact,86,0,0,0.0
8fd4963bad01e11bb7c6,1602,0,livestock_fertilizer,coordinated,full,86,0,0,0.0
8fd4963bad01e11bb7c6,1602,0,livestock_fertilizer,coordinated,no_capacity,86,0,0,0.0
8fd4963bad01e11bb7c6,1602,0,livestock_fertilizer,coordinated,no_deadline,86,1,2,0.011627906976744186
8fd4963bad01e11bb7c6,1602,0,livestock_fertilizer,coordinated,no_decay,86,0,0,0.0
8fd4963bad01e11bb7c6,1602,0,livestock_fertilizer,coordinated,no_price_impact,86,0,0,0.0
a17b824709482725f962,1602,0,livestock_fertilizer,sequential,full,86,0,0,0.0
a17b824709482725f962,1602,0,livestock_fertilizer,sequential,no_capacity,86,0,0,0.0
a17b824709482725f962,1602,0,livestock_fertilizer,sequential,no_deadline,86,8,8,0.09302325581395349
a17b824709482725f962,1602,0,livestock_fertilizer,sequential,no_decay,86,0,0,0.0
a17b824709482725f962,1602,0,livestock_fertilizer,sequential,no_price_impact,86,0,0,0.0
c3c1b698f20aad8101da,1601,0,livestock_fertilizer,coordinated,full,86,0,0,0.0
c3c1b698f20aad8101da,1601,0,livestock_fertilizer,coordinated,no_capacity,86,0,0,0.0
c3c1b698f20aad8101da,1601,0,livestock_fertilizer,coordinated,no_deadline,86,0,0,0.0
c3c1b698f20aad8101da,1601,0,livestock_fertilizer,coordinated,no_decay,86,0,0,0.0
c3c1b698f20aad8101da,1601,0,livestock_fertilizer,coordinated,no_price_impact,86,0,0,0.0
