feature,distinct_values,minimum,maximum,nonzero_fraction,status
quantity,5,1.0,5.0,1.0,activation_only_no_importance_claim
current_quote,28,42.0,305.0,1.0,activation_only_no_importance_claim
shed_units_ahead,10,0.0,19.0,0.3867595818815331,activation_only_no_importance_claim
headline_value,36,42.0,984.0,1.0,activation_only_no_importance_claim
lot_value_without_backlog,41,42.0,984.0,1.0,activation_only_no_importance_claim
marginal_value_after_shed,42,42.0,984.0,1.0,activation_only_no_importance_claim
within_lot_price_impact,11,0.0,19.0,0.289198606271777,activation_only_no_importance_claim
backlog_price_impact,7,0.0,6.0,0.08362369337979095,activation_only_no_importance_claim
total_quote_overstatement,13,0.0,19.0,0.3240418118466899,activation_only_no_importance_claim
marginal_to_headline_ratio,23,0.9691558441558441,1.0,1.0,activation_only_no_importance_claim
post_shed_quote,28,42.0,305.0,1.0,activation_only_no_importance_claim
price_floor_units_in_lot,1,0.0,0.0,0.0,activation_only_no_importance_claim
known_shop_demand_per_event,7,0.0,6.0,0.9547038327526133,activation_only_no_importance_claim
nearest_worker_travel,6,0.0,5.0,0.7177700348432056,activation_only_no_importance_claim
earliest_delivery_delay,9,1.0,11.0,1.0,activation_only_no_importance_claim
delivery_scenario_available,2,0.0,1.0,0.975609756097561,activation_only_no_importance_claim
known_demand_before_delivery,14,0.0,16.0,0.8048780487804879,activation_only_no_importance_claim
demand_only_marginal_value,43,0.0,985.0,0.975609756097561,activation_only_no_importance_claim
demand_only_value_change,17,0.0,64.0,0.33797909407665505,activation_only_no_importance_claim
