feature,distinct_values,minimum,maximum,nonzero_fraction,role,value_status
cash.product.CARROT.shed_before,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.CARROT.shed_after,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.CARROT.shed_delta,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.CARROT.control_sell_requested,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.CARROT.aligned_sell_requested,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.CARROT.control_sellable_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.CARROT.aligned_sellable_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.CARROT.sellable_units_delta,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.CARROT.control_residual_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.CARROT.aligned_residual_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.CARROT.control_solo_revenue,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.CARROT.aligned_solo_revenue,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.CARROT.solo_revenue_delta,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.CARROT.aligned_rule_reserve_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.CARROT.uncovered_sellable_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.CARROT.undercoverage_present,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.EGG.shed_before,3,0.0,4.0,0.08695652173913043,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.EGG.shed_after,3,0.0,4.0,0.15217391304347827,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.EGG.shed_delta,2,0.0,2.0,0.08695652173913043,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.EGG.control_sell_requested,3,0.0,4.0,0.13043478260869565,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.EGG.aligned_sell_requested,3,0.0,4.0,0.15217391304347827,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.EGG.control_sellable_units,3,0.0,4.0,0.08695652173913043,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.EGG.aligned_sellable_units,3,0.0,4.0,0.15217391304347827,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.EGG.sellable_units_delta,2,0.0,2.0,0.08695652173913043,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.EGG.control_residual_units,2,0.0,2.0,0.08695652173913043,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.EGG.aligned_residual_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.EGG.control_solo_revenue,3,0.0,172.0,0.08695652173913043,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.EGG.aligned_solo_revenue,3,0.0,172.0,0.15217391304347827,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
