feature,distinct_values,nonzero_fraction,status
current_units,6,1.0,candidate_activation_not_importance
current_quote,95,1.0,candidate_activation_not_importance
current_quote_value,150,1.0,candidate_activation_not_importance
travel_actions,9,0.9607038123167155,candidate_activation_not_importance
hours_until_refresh,4,1.0,candidate_activation_not_importance
same_day_arrival,2,0.9868035190615836,candidate_activation_not_importance
arrival_callback,468,1.0,candidate_activation_not_importance
sale_callback_lower_bound,461,1.0,candidate_activation_not_importance
remaining_callbacks,106,1.0,candidate_activation_not_importance
delivery_actions,10,1.0,candidate_activation_not_importance
delivery_within_season,1,1.0,candidate_activation_not_importance
delivery_before_refresh,2,0.8454545454545455,candidate_activation_not_importance
decay_on_route,2,0.0002932551319648094,candidate_activation_not_importance
units_at_arrival,7,0.9997067448680352,candidate_activation_not_importance
lost_units_on_route,2,0.0002932551319648094,candidate_activation_not_importance
lost_quote_value,2,0.0002932551319648094,candidate_activation_not_importance
arrival_quote_value,151,0.9997067448680352,candidate_activation_not_importance
survival_fraction,2,0.9997067448680352,candidate_activation_not_importance
next_decay_offset,14,0.9997067448680352,candidate_activation_not_importance
harvest_before_first_decay,2,0.9979472140762463,candidate_activation_not_importance
arrival_slack_to_refresh,24,0.981524926686217,candidate_activation_not_importance
sale_slack_to_terminal,461,1.0,candidate_activation_not_importance
crop_age_days,10,1.0,candidate_activation_not_importance
ongoing_crop,2,0.28856304985337244,candidate_activation_not_importance
future_production_events,4,0.23020527859237536,candidate_activation_not_importance
watered_today,2,0.28269794721407626,candidate_activation_not_importance
dry_streak,2,0.0017595307917888563,candidate_activation_not_importance
fertilized_today,2,0.398533724340176,candidate_activation_not_importance
own_shed_same_product,16,0.6284457478005865,candidate_activation_not_importance
own_carried_same_product,18,0.6780058651026393,candidate_activation_not_importance
own_shed_free,31,1.0,candidate_activation_not_importance
relative_value_reduction,2,0.0002932551319648094,candidate_activation_not_importance
