feature,definition,availability,policy_role,validation_status
active_window,Day in the fixed 8..27 intervention window.,current own farm/clock/seed stock + fixed mechanics,logged only; not an extra intervention,unit-tested candidate; value not established
current_workers,Farmer plus every current hired hand; no truncation.,current own farm/clock/seed stock + fixed mechanics,logged only; not an extra intervention,unit-tested candidate; value not established
clear_eligible_spent_plots,Empty exhausted ongoing crop in fixed crop layout with existing replant window open.,current own farm/clock/seed stock + fixed mechanics,logged only; not an extra intervention,unit-tested candidate; value not established
clearable_unwatered_plots,Eligible plot simultaneously offering an ordinary WATER job.,current own farm/clock/seed stock + fixed mechanics,logged only; not an extra intervention,unit-tested candidate; value not established
clearable_watered_plots,Eligible plot already watered today; no WATER job remaining.,current own farm/clock/seed stock + fixed mechanics,logged only; not an extra intervention,unit-tested candidate; value not established
clear_water_overlap_fraction,Fraction of clearable plots also unwatered; zero with no eligible plots.,current own farm/clock/seed stock + fixed mechanics,logged only; not an extra intervention,unit-tested candidate; value not established
clearable_seed_ready_plots,Clearable plots with at least one matching seed presently available; not simultaneous seed feasibility.,current own farm/clock/seed stock + fixed mechanics,logged only; not an extra intervention,unit-tested candidate; value not established
clearable_seed_missing_plots,Clearable plots without a matching seed in stock.,current own farm/clock/seed stock + fixed mechanics,logged only; not an extra intervention,unit-tested candidate; value not established
water_due_plots,"All current own plants not watered today, including spent ones.",current own farm/clock/seed stock + fixed mechanics,logged only; not an extra intervention,unit-tested candidate; value not established
urgent_water_due_plots,"Unwatered own plants with dry streak at least one; nominal survival need, not prediction of decay.",current own farm/clock/seed stock + fixed mechanics,logged only; not an extra intervention,unit-tested candidate; value not established
feed_due_animals,Visible own animals not fed today; not an instruction to feed.,current own farm/clock/seed stock + fixed mechanics,logged only; not an extra intervention,unit-tested candidate; value not established
urgent_feed_due_animals,Unfed own animals with unfed streak at least one.,current own farm/clock/seed stock + fixed mechanics,logged only; not an extra intervention,unit-tested candidate; value not established
water_jobs_per_worker,Count of due WATER jobs divided by current workers; ignores travel and other jobs.,current own farm/clock/seed stock + fixed mechanics,logged only; not an extra intervention,unit-tested candidate; value not established
clear_jobs_per_worker,Count of eligible clearing jobs divided by current workers.,current own farm/clock/seed stock + fixed mechanics,logged only; not an extra intervention,unit-tested candidate; value not established
min_clear_plant_water_actions,"Minimum over eligible plots of nearest worker Manhattan travel plus DIG, PLANT and WATER; zero if none.",current own farm/clock/seed stock + fixed mechanics,logged only; not an extra intervention,unit-tested candidate; value not established
max_same_day_setup_slack,Maximum 24-hour deadline slack over those optimistic sequences; zero if none. Use eligibility count as mask.,current own farm/clock/seed stock + fixed mechanics,logged only; not an extra intervention,unit-tested candidate; value not established
