round,level,feature,definition,availability,role,status
22,worker_option,travel_actions,Travel actions; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,service_actions,Service actions; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,service_effort,Service effort; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,hours_left,Hours left; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,decisions_left,Decisions left; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,deadline_callback_offset,Deadline callback offset; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,completion_slack,Callbacks until refresh minus outbound distance minus one service action.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,deadline_exists,Deadline exists; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,reachable_today,Reachable today; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,survival_critical,Unserviced plant/animal with current dry/unfed streak >=1.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,dry_or_unfed_streak,Dry or unfed streak; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,already_serviced,Already serviced; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,wheat_required,Wheat required; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,worker_wheat,Worker wheat; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,shed_wheat,Shed wheat; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,resource_available,"True for WATER; for FEED requires wheat in this worker inventory, not merely in the shed.",Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,next_production_scheduled,Next production scheduled; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,nominal_next_yield,Conditional next scheduled production if necessary maintenance now succeeds; not future realized income.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,held_units,Held units; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,held_quote_value,Held quote value; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,production_capacity,Production capacity; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,production_headroom,Production headroom; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,future_events_in_season,"Nominal remaining recurring production dates through day 29, conditional on survival.",Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
