feature,distinct_values,nonzero_fraction,status
active_window,2,0.9108159392789373,logged_candidate_not_action_weight_or_importance
current_workers,4,1.0,logged_candidate_not_action_weight_or_importance
clear_eligible_spent_plots,3,0.0777988614800759,logged_candidate_not_action_weight_or_importance
clearable_unwatered_plots,3,0.013282732447817837,logged_candidate_not_action_weight_or_importance
clearable_watered_plots,3,0.06451612903225806,logged_candidate_not_action_weight_or_importance
clear_water_overlap_fraction,2,0.013282732447817837,logged_candidate_not_action_weight_or_importance
clearable_seed_ready_plots,3,0.036053130929791274,logged_candidate_not_action_weight_or_importance
clearable_seed_missing_plots,3,0.04174573055028463,logged_candidate_not_action_weight_or_importance
water_due_plots,11,0.8349146110056926,logged_candidate_not_action_weight_or_importance
urgent_water_due_plots,2,0.03415559772296015,logged_candidate_not_action_weight_or_importance
feed_due_animals,7,0.5294117647058824,logged_candidate_not_action_weight_or_importance
urgent_feed_due_animals,3,0.058823529411764705,logged_candidate_not_action_weight_or_importance
water_jobs_per_worker,25,0.8349146110056926,logged_candidate_not_action_weight_or_importance
clear_jobs_per_worker,5,0.0777988614800759,logged_candidate_not_action_weight_or_importance
min_clear_plant_water_actions,7,0.0777988614800759,logged_candidate_not_action_weight_or_importance
max_same_day_setup_slack,17,0.07020872865275142,logged_candidate_not_action_weight_or_importance
